阿党比周	a'dang'bi'zhou	相互勾结，相互偏袒，结党营私。
安贫乐道	an'pin'le'dao	谓安于清贫，以追求圣贤之道为乐。为古代儒家所提倡的立身处世的态度。语本《论语·雍也》：“贤哉回也！一箪食，一瓢饮，在陋巷。人不堪其忧，回也不改其乐。”何晏集解引孔安国曰：“颜渊乐道，虽箪食在陋巷，不改其所乐。”
安然无恙	an'ran'wu'yang	平安无事。
安如太山	an'ru'tai'shan	见“安如泰山”。
安如泰山	an'ru'tai'shan	形容极其平安稳固。泰，也写作“太”。
安身乐业	an'shen'le'ye	安稳快乐地过日子。
安身立命	an'shen'li'ming	谓生活有着落，精神亦有所寄托。
安生服业	an'sheng'fu'ye	平稳地生活，安心地从事自己的生业。
安生乐业	an'sheng'le'ye	犹安居乐业。
安时处顺	an'shi'chu'shun	谓安于时运，顺应变化。语本《庄子·养生主》：“適来，夫子时也；適去，夫子顺也。安时而处顺，哀乐不能入也。”
安土乐业	an'tu'le'ye	安居本土，愉快地从事自己的职业。
安土重旧	an'tu'zhong'jiu	留恋故土，不轻易改变旧俗。
安土重居	an'tu'zhong'ju	犹安土重迁。
安土重迁	an'tu'zhong'qian	留恋故乡，不愿轻易迁居异地。
安心乐业	an'xin'le'ye	心绪安定，生活愉快。
安心乐意	an'xin'le'yi	心情安定，满意。
安心落意	an'xin'luo'yi	放心，无忧虑。
安营下寨	an'ying'xia'zhai	见“安营扎寨”。
安营扎寨	an'ying'za'zhai	亦作“安营下寨”。①指军队驻扎。②现喻指为完成某项任务而建立临时住所。
安於盘石	an'yu'pan'shi	象盘石一样安然不动。形容安定稳固。
安於现状	an'yu'xian'zhuang	习惯、满足于目前的状况，不求进取。
安枕而卧	an'zhen'er'wo	安安稳稳地睡眠。喻指无忧无虑。
安之若素	an'zhi'ruo'su	谓对反常现象或不顺利的情况视若平常，毫不在意。
鞍前马后	an'qian'ma'hou	又作：马前马后。谓追随左右。
闇室不欺	an'shi'bu'qi	据汉刘向《列女传·卫灵夫人》载，卫大夫蘧伯玉仁智敬上，夜间乘车过卫灵公阙，按照礼制下公门，式路马，不以闇昧废礼。后因以“闇室不欺”谓在无人看见的地方，也不作昧心事。
闇无天日	an'wu'tian'ri	形容社会极端黑暗。
岸谷之变	an'gu'zhi'bian	《诗·小雅·十月之交》：“高岸为谷，深谷为陵。”毛传：“言易位也。”郑玄笺：“易位者，君子居下小人处上之谓也。”后因以“岸谷之变”比喻政治上的重大变化。
岸然道貌	an'ran'dao'mao	①谓神态严肃。②指严肃的神态。
按兵不动	an'bing'bu'dong	让军队驻扎下来暂不行动。
按步就班	an'bu'jiu'ban	见“按部就班”。
按部就班	an'bu'jiu'ban	①谓安排文义，组织章句。语出晋陆机《文赋》：“观古今於须臾，抚四海於一瞬。然后选义按部，考辞就班。”②按照条理或遵循一定的程序。
按甲寝兵	an'jia'qin'bing	见“按甲休兵”。
按甲休兵	an'jia'xiu'bing	屯兵休整。
按名责实	an'ming'ze'shi	循名责实。
按图索骥	an'tu'suo'ji	亦作“按图索骏”。①按照图像寻找良马。比喻拘泥成法办事。语本《汉书·梅福传》：“今不循伯者之道，乃欲以三代选举之法，取当时之士，犹察伯乐之图，求骐骥於市，而不可得，亦已明矣。”②用于比喻按照线索去寻找，易于获得。
按图索骏	an'tu'suo'jun	见“按图索骥”。
案兵束甲	an'bing'shu'jia	放下兵器，捆束铠甲。谓停止作战。
案甲休兵	an'jia'xiu'bing	谓停止战事，休养士卒。
暗锤打人	an'chui'da'ren	比喻暗中对人进行攻击。
暗斗明争	an'dou'ming'zheng	暗里明里都在进行斗争。常形容尽力争权夺利。
暗度陈仓	an'du'chen'cang	《史记·高祖本纪》：“正月，项羽自立为西楚霸王，王梁楚地九郡，都彭城。负约，更立沛公为汉王，王巴、蜀、汉中，都南郑……汉王之国，项王使卒三万人从，楚与诸侯之慕从者数万人，从杜南入蚀中。去辄烧绝栈道，以备诸侯盗兵袭之，亦示项羽无东意……八月，汉王用韩信之计，从故道还，袭雍王章邯。邯迎击汉陈仓，雍兵败，还走；止战好畤，又复败，走废丘。汉王遂定雍地。东至咸阳，引兵围雍王废丘，而遣诸将略定陇西、北地、上郡。”陈仓，古县名，在今陕西省宝鸡市东，为通向汉中的交通孔道。后遂以“暗度陈仓”指正面迷惑敌人，而从侧翼进行突然袭击。亦比喻暗中进行活动。
暗箭难防	an'jian'nan'fang	比喻阴谋诡计难以防备。
暗箭伤人	an'jian'shang'ren	放冷箭伤害人。比喻用阴险的手段暗中攻击或陷害别人。语本宋刘炎《迩言》卷六：“暗箭中人，其深次骨，人之怨之，亦必次骨，以其掩人所不备也。”
暗绿稀红	an'lv'xi'hong	又作：绿肥红瘦。形容叶盛花稀的暮春景象。
暗室不欺	an'shi'bu'qi	虽在别人看不见的地方，也不做亏心事。谓光明磊落。语出唐骆宾王《萤火赋》：“类君子之有道，入暗室而不欺。”
暗室屋漏	an'shi'wu'lou	指别人看不见的地方；隐私之室。
暗送秋波	an'song'qiu'bo	本指女子暗中以眉目传情，引申为献媚取宠，暗中勾结。秋波，比喻美女的眼睛。语本宋苏轼《百步洪》诗之二：“佳人未肯回秋波，幼舆欲语防飞梭。”
暗无天日	an'wu'tian'ri	看不到一线光明。多形容政治腐败，社会黑暗。
暗香疏影	an'xiang'shu'ying	宋林逋《山园小梅》诗之一：“疏影横斜水清浅，暗香浮动月黄昏。”后遂以“暗香疏影”为梅花的代称。
暗中摸索	an'zhong'mo'suo	在黑暗中寻找探索。亦比喻无人指引，独自探求。
黯晦消沉	an'hui'xiao'chen	谓湮没消失。
黯然神伤	an'ran'shen'shang	心神悲沮貌。
黯然失色	an'ran'shi'se	指相比之下，事物仿佛失去原有的色泽、光彩。
黯然无色	an'ran'wu'se	指事物失去原有光彩，变得暗淡无光。
黯然销魂	an'ran'xiao'hun	心神沮丧，失魂落魄。
昂藏七尺	ang'cang'qi'chi	指轩昂伟岸的男子汉。
昂首阔步	ang'shou'kuo'bu	仰着头，迈着大步。形容精神奋发或态度傲慢。
昂首挺胸	ang'shou'ting'xiong	仰起头，挺起胸膛。形容无所畏惧或坚决的样子。
昂头阔步	ang'tou'kuo'bu	见“昂首阔步”。
昂头挺胸	ang'tou'ting'xiong	见“昂首挺胸”。
盎盂相击	ang'yu'xiang'ji	见“盎盂相敲”。
盎盂相敲	ang'yu'xiang'qiao	比喻家庭口角。
嗷嗷待哺	ao'ao'dai'bu	迫于饥饿而急于求食的样子。
遨翔自得	ao'xiang'zi'de	自由自在的样子。
熬肠刮肚	ao'chang'gua'du	谓从饮食方面尽力节俭。
熬更守夜	ao'geng'shou'ye	犹熬夜。
熬姜呷醋	ao'jiang'xia'cu	比喻生活清苦。
熬枯受淡	ao'ku'shou'dan	忍受清苦的生活。
熬清守淡	ao'qing'shou'dan	谓忍受清苦乏味的生活。
熬清受淡	ao'qing'shou'dan	见“熬清守淡”。
熬心费力	ao'xin'fei'li	谓耗费心神和气力。
熬油费火	ao'you'fei'huo	谓耗费灯油。多指日夜忙碌。
聱牙戟口	ao'ya'ji'kou	形容文词艰涩，拗口难读。
聱牙诘曲	ao'ya'jie'qu	见“聱牙诘屈”。
聱牙诘屈	ao'ya'jie'qu	形容文辞艰涩难读。
聱牙诎曲	ao'ya'qu'qu	见“聱牙诘屈”。
謷牙诘屈	ao'ya'jie'qu	同“诘屈聱牙”。謷，通“聱”。
鼇里夺尊	ao'li'duo'zun	又作：出类拔萃。
鼇头独占	ao'tou'du'zhan	比喻占首位或第一名。
鼇掷鲸呿	ao'zhi'jing'qu	见“鼇掷鲸吞”。
鼇掷鲸吞	ao'zhi'jing'tun	比喻文辞气势磅礴，跌宕起伏。
傲头傲脑	ao'tou'ao'nao	形容倔强的样子。
八拜之交	ba'bai'zhi'jiao	指结拜兄弟或姐妹的关系。
八窗玲珑	ba'chuang'ling'long	①唐卢纶《赋得彭祖楼送杨德宗归徐州幕》诗：“四户八窗明，玲珑逼上清。”后称四壁窗户轩敞，室内通彻明亮为“八窗玲珑”。亦作“八窗玲珑”。②比喻通达明澈的修养境界。
八窗玲珑	ba'chuang'ling'long	见“八窗玲珑”。
八方呼应	ba'fang'hu'ying	各方面声气相通，相互配合。
八府巡按	ba'fu'xun'an	巡按之名，起于明代，非固定职官，临时由朝廷委派监察御史担任，分别巡视各省，考核吏治。“八府巡按”常见于戏曲、小说，民间多视为清廉而有权势的大官。
八纮同轨	ba'hong'tong'gui	谓天下一统。
八面⒙珑	ba'mian'⒙'long	见“八面玲珑”。
八面见光	ba'mian'jian'guang	形容说话、做事圆转，面面俱到。亦以讥讽人圆滑世故，各方讨好。
八面玲珑	ba'mian'ling'long	①谓四壁窗户轩敞，室内通彻明亮。②形容物体外观挺秀。③形容圆活、灵秀。④形容人世故圆滑，面面俱到，或善于应酬，各方面的关系都能应付。
八面驶风	ba'mian'shi'feng	形容善于见风使舵，各方面都兜得传。
八面受敌	ba'mian'shou'di	①谓功力深厚，能应付各种情况。②砚名。
八面威风	ba'mian'wei'feng	①形容威风十足，声势慑人。②宋徽宗内库所藏玉杯名。见《通俗常言疏证·武备》引李绍闻《云间杂志》。
八面莹澈	ba'mian'ying'che	比喻精明练达，洞察一切。
八面张罗	ba'mian'zhang'luo	形容各方面都应酬得好。
八万四千	ba'wan'si'qian	本为佛教表示事物众多的数字，后用以形容极多。
八仙过海	ba'xian'guo'hai	相传八仙过海时不用舟船，各有一套法术。民间因有“八仙过海，各显神通”的谚语。明无名氏《八仙过海》第二折：“则俺这八仙过海神通大，方显这众圣归山道法强，端的万古名扬。”《西游记》第八一回：“正是八仙过海，独自显神通。”后以比喻各自拿出本领或办法，互相竞赛。
八音遏密	ba'yin'e'mi	《书·舜典》：“帝乃殂落，百姓如丧考妣。三载，四海遏密八音。”谓尧死，天下为之举哀，停止作乐。后以“八音遏密”指国君（或国家元首）去世。
八珍玉食	ba'zhen'yu'shi	泛指精美的肴馔。
八字打开	ba'zi'da'kai	意谓明白无隐，开门见山。
八字没见一撇	ba'zi'mei'jian'yi'pie	】	比喻事情毫无眉目，未见端绪。《通俗常言疏证》卷三：“《通俗编》：‘硃子《与刘子澄书》：圣贤已是八字打开了，人不自领会。’按今有‘八字不见两撇’之谚，似又因於此。凡事无端绪者，谓之八字不曾见两撇。”今通常作“八字没见一撇”。
巴巴急急	ba'ba'ji'ji	同“巴巴结结”。
巴巴劫劫	ba'ba'jie'jie	心情急切貌。
巴巴结结	ba'ba'jie'jie	①勉强，凑合。②勤恳；辛劳。③形容说话不流利。
巴高望上	ba'gao'wang'shang	犹高攀，向上爬。
巴高枝兒	ba'gao'zhi'er	比喻高攀。v
巴人下里	ba'ren'xia'li	①即下里巴人。古代楚国流行的民间歌曲。用以称流俗的音乐。巴，古国名，在今四川东部一带，古为楚地。下里，乡里。②泛指粗俗的作品。
巴三览四	ba'san'lan'si	东拉西扯。
巴山度岭	ba'shan'du'ling	爬山越岭。
巴山越岭	ba'shan'yue'ling	爬山越岭。形容善于登山行走。
扒耳搔腮	ba'er'sao'sai	形容焦急而又无可奈何。
扒高踩低	ba'gao'cai'di	比喻对上奉承攀附，对下欺侮压制。
拔本塞原	ba'ben'sai'yuan	亦作“拔本塞源”。①比喻背弃根本。②铲除事物发生的根源。多用于坏事。
拔本塞源	ba'ben'sai'yuan	见“拔本塞原”。
拔丛出类	ba'cong'chu'lei	又作：拔萃出类。
拔萃出类	ba'cui'chu'lei	同“出类拔萃”。谓高出众人。
拔萃出群	ba'cui'chu'qun	见“拔萃出类”。
拔刀相向	ba'dao'xiang'xiang	谓动武。
拔刀相助	ba'dao'xiang'zhu	拔出刀来助战。多指见义勇为。
拔丁抽楔	ba'ding'chou'xie	比喻排除疑难。丁，“钉”的古字。
拔锅卷席	ba'guo'juan'xi	①比喻带走全部家当。②又作：卷铺盖。比喻被解雇。
拔剑论功	ba'jian'lun'gong	争论功劳激烈到几乎动武。语出《史记·刘敬叔孙通列传》：“高帝悉去秦苛仪法，为简易。群臣饮酒争功，醉或妄呼，拔剑击柱，高帝患之。”
拔葵去织	ba'kui'qu'zhi	《史记·循吏列传》：“扞公仪休呴食茹而美，拔其园葵而弃之。见其家织布好，而疾出其家妇，燔其机，云：‘欲令农士工女安所雠其货乎？’”后以“拔葵去织”为居官不与民争利的典故。
拔来报往	ba'lai'bao'wang	速来速往。后以指往来频繁。报，通“赴”。语出《礼记·少仪》：“毋拔来，毋报往。”郑玄注：“报，读为‘赴疾’之‘赴’。拔、赴皆疾也。”
拔类超群	ba'lei'chao'qun	见“拔萃出类”。
拔毛济世	ba'mao'ji'shi	谓受轻微损失而能有利于世人。语出《列子·杨硃》：“禽子问杨硃曰：‘去子体之一毛以济一世，汝为之乎？’杨子曰：‘世固非一毛之所济。’禽子曰：‘假济，为之乎？’杨子弗应。”
拔茅连茹	ba'mao'lian'ru	比喻递相推荐引进。语出《易·泰》：“拔茅茹以其汇。”王弼注：“茅之为物，拔其根而相牵引者也。茹，相牵引之貌也。”硃熹本义：“三阳在下，拔茅连茹之象。”
拔苗助长	ba'miao'zhu'chang	同“揠苗助长”。
拔群出萃	ba'qun'chu'cui	高出众人。多指才能。
拔山盖世	ba'shan'gai'shi	谓勇猛无敌于天下。语出《史记·项羽本纪》：“力拔山兮气盖世，时不利兮骓不逝。”
拔山举鼎	ba'shan'ju'ding	同“拔山扛鼎”。
拔山扛鼎	ba'shan'kang'ding	形容力量超人或气势雄伟。语出《史记·项羽本纪》：“籍长八尺馀，力能扛鼎。”又：“力拔山兮气盖世。”
拔十得五	ba'shi'de'wu	谓选拔人才而得其半数。
拔十失五	ba'shi'shi'wu	谓选拔人才而失其半数。
拔树搜根	ba'shu'sou'gen	见“拔树寻根”。
拔树寻根	ba'shu'xun'gen	比喻追根究底，彻底查问。
拔犀擢象	ba'xi'zhuo'xiang	比喻提拔特出人才。
拔辖投井	ba'xia'tou'jing	谓殷勤留客饮酒。
拔新领异	ba'xin'ling'yi	创立新意，提出独特见解。
拔宅飞昇	ba'zhai'fei'sheng	见“拔宅上昇”。
拔宅上昇	ba'zhai'shang'sheng	《太平广记》卷十四引《十二真君传·许真君》：“真君以东晋孝武帝太康二年八月一日，於洪州西山，举家四十二口，拔宅上昇而去。”后因以“拔宅上昇”。指全家成仙。
拔赵易汉	ba'zhao'yi'han	见“拔赵帜易汉帜”。
拔赵帜立赤帜	ba'zhao'zhi'li'chi'zhi	】	见“拔赵帜易汉帜”。
拔赵帜易汉帜	ba'zhao'zhi'yi'han'zhi	】	据《史记·淮阴侯列传》载，韩信率汉军击赵，将至井陉口，先挑选轻骑二千，人持一赤帜，抄小路埋伏于赵营附近。接着背水列阵以诱赵。赵军出击，汉军佯败而走，赵军果空营追击。“信所出奇兵二千骑，共候赵空壁逐利，则驰入赵壁，皆拔赵旗，立汉赤帜二千。”赵军进击不能胜，欲回营，见营中尽是汉军赤帜，大惊，“以为汉皆已得赵王将矣”，于是溃不成军，终于为信所灭。后遂用以为偷换取胜或战胜、胜利之典。
拔帜树帜	ba'zhi'shu'zhi	同“拔赵帜易汉帜”。
跋胡疐尾	ba'hu'zhi'wei	《诗·豳风·狼跋》：“狼跋其胡，载疐其尾。”后以“跋胡疐尾”喻进退两难。
跋扈飞扬	ba'hu'fei'yang	骄横放肆。
跋扈自恣	ba'hu'zi'zi	专横强暴，为所欲为。
跋扈恣睢	ba'hu'zi'sui	见“跋扈自恣”。
跋来报往	ba'lai'bao'wang	匆匆地跑来跑去。跋，通“拔”。语本《礼记·少仪》：“毋拔来，毋报往。”郑玄注：“报读为赴疾之赴，拨、赴皆疾也。”
跋履山川	ba'lv'shan'chuan	同“跋山涉水”。
跋前踕后	ba'qian'jie'hou	同“跋胡疐尾”。
跋前疐后	ba'qian'zhi'hou	同“跋胡疐尾”。
跋前踬后	ba'qian'zhi'hou	同“跋胡疐尾”。
跋山涉川	ba'shan'she'chuan	见“跋山涉水”。
跋山涉水	ba'shan'she'shui	亦作“跋山涉川”。形容远道奔波之苦。
跋涉山川	ba'she'shan'chuan	同“跋山涉水”。
把臂入林	ba'bi'ru'lin	谓与友人一同归隐。
把饭叫饥	ba'fan'jiao'ji	比喻多此一举。
把酒持螯	ba'jiu'chi'ao	手持蟹螯饮酒。古人视为人生一大乐事。语本《晋书·毕卓传》：“卓尝谓人曰：‘得酒满数百斛船，四时甘味置两头，右手持酒杯，左手持蟹螯，拍浮酒船中，便足了一生矣。’”
罢於奔命	ba'yu'ben'ming	原谓因受命到处奔走而精疲力尽。后以指忙于奔走应付，非常疲劳。
霸道横行	ba'dao'heng'xing	又作：横行霸道。
白璧青蝇	bai'bi'qing'ying	唐陈子昂《宴胡楚真禁所》诗：“青蝇一相点，白璧遂成冤。”青蝇玷白璧，比喻谗人陷害忠良。
白璧三献	bai'bi'san'xian	楚人和氏得玉璞，两献楚王，两遭刖足。第三次王使治璞，得白玉，琢以为璧，世称“和氏璧”。见《韩非子·和氏》。后因以“白璧三献”喻不识良材或怀才不遇。
白璧微瑕	bai'bi'wei'xia	白玉上的小斑点。比喻美中不足，有小缺点。
白璧无瑕	bai'bi'wu'xia	①白玉上没有一点斑点。比喻品德完美。②喻女子坚贞自守。
白齿青眉	bai'chi'qing'mei	指青少年时期。
白藋同心	bai'diao'tong'xin	又作：心如野草。形容不羡荣华的品节。
白发青衫	bai'fa'qing'shan	①谓晚年得官。唐宋时文官品级低的穿青色服。②谓晚年尚作微官。
白黑不分	bai'hei'bu'fen	比喻清浊混乱，是非不明。
白黑颠倒	bai'hei'dian'dao	又作：白黑不分。
白虹贯日	bai'hong'guan'ri	①白色长虹穿日而过。一种罕见的日晕天象。古人认为人间有非常之事发生，就会出现这种天象变化。②比喻眼睛多白。
白华之怨	bai'hua'zhi'yuan	谓女子失宠之哀怨。
白话八股	bai'hua'ba'gu	用白话写的类似旧时八股式的文章。喻指应命而写的刻板文章。
白袷蓝衫	bai'jia'lan'shan	旧时士人的服装。亦借指尚未取得功名的士人。
白驹过郤	bai'ju'guo'xi	亦作“白驹过隙”。谓日影如白色的骏马飞快地驰过缝隙。形容时间过得极快。
白驹过隙	bai'ju'guo'xi	见“白驹过郤”。
白驹空谷	bai'ju'kong'gu	《诗·小雅·白驹》：“皎皎白驹，在彼空谷。”谓白驹在空谷。比喻贤人在野而不出仕。后亦以“白驹空谷”比喻贤人出仕而谷空。
白龙鱼服	bai'long'yu'fu	汉刘向《说苑·正谏》：“昔白龙下清泠之渊，化为鱼，渔者豫且射中其目。”后以“白龙鱼服”比喻贵人微服出行，恐有不测之虞。
白面儒冠	bai'mian'ru'guan	犹白面书生。
白面儒生	bai'mian'ru'sheng	犹白面书生。
白面书郎	bai'mian'shu'lang	犹白面书生。
白面书生	bai'mian'shu'sheng	指只知读书，阅历少，见识浅的读书人。有时含贬义。亦泛指读书人。
白帢青衫	bai'qia'qing'shan	古代士人所戴的帽和所穿的衣。因即指士人。
白日飞升	bai'ri'fei'sheng	见“白日飞昇”。
白日飞昇	bai'ri'fei'sheng	亦作“白日飞升”。犹白日升天。
白日见鬼	bai'ri'jian'gui	①旧喻官衙清闲冷落。②比喻虚妄荒诞，不可能出现的事。
白日青天	bai'ri'qing'tian	白天。表示强调。
白日上昇	bai'ri'shang'sheng	又作：白日升天。
白日昇天	bai'ri'sheng'tian	①道教谓人修炼得道后，白昼飞升天界成仙。②五代王定保《唐摭言·好放孤寒》：“元和十一年，岁在丙申，李凉公下三十三人，皆取寒素。时有诗曰：‘元和天子丙申年，三十三人同得仙，袍似烂银文似锦，相将白日上青天。’”后遂以喻指一朝显贵。
白日绣衣	bai'ri'xiu'yi	又作：衣锦昼行。旧时比喻有了功名富贵去夸耀乡里。
白日作梦	bai'ri'zuo'meng	见“白日做梦”。
白日做梦	bai'ri'zuo'meng	比喻幻想不可能实现。
白山黑水	bai'shan'hei'shui	长白山和黑龙江的合称。亦泛指我国东北地区。
白手成家	bai'shou'cheng'jia	见“白手起家”。
白手空拳	bai'shou'kong'quan	形容手中一无所有。
白手起家	bai'shou'qi'jia	形容原来无基础或条件很差而创出一番事业。
白手兴家	bai'shou'xing'jia	见“白手起家”。
白首北面	bai'shou'bei'mian	谓年已老犹从师受业。形容好学不倦。
白首空归	bai'shou'kong'gui	谓到老而无所成就。
白首齐眉	bai'shou'qi'mei	犹白首相庄。
白首穷经	bai'shou'qiong'jing	谓直到年老尚钻研经籍。形容好学不倦。
白首如新	bai'shou'ru'xin	同“白头如新”。
